cluster,0,1,2,3,4,5,6,7,8,9
0,1.0,0.15172144362715695,0.49120556786876185,0.42175086809865847,0.37308018138871607,0.5681954951300768,0.3160903074436982,0.5973272202264814,0.09910799864448443,0.33302643502110074
1,0.15172144362715695,1.0,0.4030645465017285,0.22744345317155176,0.3474418480632915,0.0520983580290337,0.32339629970035155,0.8062272650027256,0.7799590873581238,0.8824198865043124
2,0.49120556786876185,0.4030645465017285,1.0,0.5129000510472606,0.18434230325897694,0.15790811417710998,0.7968598586261655,0.7051224182214978,0.5181685666839294,0.6906427347652037
3,0.42175086809865847,0.22744345317155176,0.5129000510472606,1.0,0.3475916047239467,0.13045029660683757,0.5971724949243482,0.6023381229145459,0.3772989521501024,0.5830323313573874
4,0.37308018138871607,0.3474418480632915,0.18434230325897694,0.3475916047239467,1.0,0.17343664655135388,0.2978056641777719,0.423065089572618,0.24291730828226818,0.429301106095978
5,0.5681954951300768,0.0520983580290337,0.15790811417710998,0.13045029660683757,0.17343664655135388,1.0,0.08581472108638007,0.26802848436504684,-0.10228218634897812,0.09048811342474523
6,0.3160903074436982,0.32339629970035155,0.7968598586261655,0.5971724949243482,0.2978056641777719,0.08581472108638007,1.0,0.5876417978063461,0.43505625648211826,0.636860812628811
7,0.5973272202264814,0.8062272650027256,0.7051224182214978,0.6023381229145459,0.423065089572618,0.26802848436504684,0.5876417978063461,1.0,0.7388912430603527,0.9281485655318547
8,0.09910799864448443,0.7799590873581238,0.5181685666839294,0.3772989521501024,0.24291730828226818,-0.10228218634897812,0.43505625648211826,0.7388912430603527,1.0,0.8392929865704384
9,0.33302643502110074,0.8824198865043124,0.6906427347652037,0.5830323313573874,0.429301106095978,0.09048811342474523,0.636860812628811,0.9281485655318547,0.8392929865704384,1.0
